"","X","TransectDateID","Group_Project","CollectionMethod","Site","SiteCode","SiteLatitude","SiteLongitude","Area","AreaCode","Port","ReserveType","CullingTreatment","OriginalSubSite","SubSiteLatitude","SubSiteLongitude","SurveyLatitude","SurveyLongitude","Date","Year","Month","Day","Transect","Depth_ft","Direction_Degrees","SurveyWidth_m","SurveyLength_m","SurveyArea_m2","ORKA_SpeciesCode","Species","CommonName","Taxon","FunctionalGroup","PercentCover","Count","Density_m2"
"16",976,"ReefCheck_Transect_Pacific City South_1_2023-07-29","ReefCheck_Transect","Transect","Pacific City","PACS",45.21237,-123.985,"Cascade Head","CASCD","Pacific City","","Unculled","Pacific City South",45.21028,-123.987107,45.212367,-123.984928,2023-07-29,2023,7,29,"1",31.97169811,NA,2,30,60,"PISOCH","Pisaster ochraceus","Ochre star","Sea star","Other predatory sea star",NA,29,0.483333333
"17",977,"ReefCheck_Transect_Pacific City South_1_2023-07-29","ReefCheck_Transect","Transect","Pacific City","PACS",45.21237,-123.985,"Cascade Head","CASCD","Pacific City","","Unculled","Pacific City South",45.21028,-123.987107,45.212367,-123.984928,2023-07-29,2023,7,29,"1",31.97169811,NA,2,30,60,"PLEGAR","Pleurophycus gardneri","Ribbed Kelp","Kelp","Subcanopy kelp",NA,0,0
"18",978,"ReefCheck_Transect_Pacific City South_1_2023-07-29","ReefCheck_Transect","Transect","Pacific City","PACS",45.21237,-123.985,"Cascade Head","CASCD","Pacific City","","Unculled","Pacific City South",45.21028,-123.987107,45.212367,-123.984928,2023-07-29,2023,7,29,"1",31.97169811,NA,2,30,60,"PTECAL","Pterygophora californica","Old growth kelp, winged kelp","Kelp","Subcanopy kelp",NA,0,0
"19",979,"ReefCheck_Transect_Pacific City South_1_2023-07-29","ReefCheck_Transect","Transect","Pacific City","PACS",45.21237,-123.985,"Cascade Head","CASCD","Pacific City","","Unculled","Pacific City South",45.21028,-123.987107,45.212367,-123.984928,2023-07-29,2023,7,29,"1",31.97169811,NA,2,30,60,"PYCHEL","Pycnopodia helianthoides","Sunflower sea star","Sea star","Sunflower sea star",NA,30,0.5
"20",980,"ReefCheck_Transect_Pacific City South_1_2023-07-29","ReefCheck_Transect","Transect","Pacific City","PACS",45.21237,-123.985,"Cascade Head","CASCD","Pacific City","","Unculled","Pacific City South",45.21028,-123.987107,45.212367,-123.984928,2023-07-29,2023,7,29,"1",31.97169811,NA,2,30,60,"SOLDAW","Solaster dawsoni","Dawson's star","Sea star","Other predatory sea star",NA,0,0
"21",981,"ReefCheck_Transect_Pacific City South_1_2023-07-29","ReefCheck_Transect","Transect","Pacific City","PACS",45.21237,-123.985,"Cascade Head","CASCD","Pacific City","","Unculled","Pacific City South",45.21028,-123.987107,45.212367,-123.984928,2023-07-29,2023,7,29,"1",31.97169811,NA,2,30,60,"SOLSTI","Solaster stimpsoni","Stimpson's star","Sea star","Other predatory sea star",NA,0,0
"22",982,"ReefCheck_Transect_Pacific City South_1_2023-07-29","ReefCheck_Transect","Transect","Pacific City","PACS",45.21237,-123.985,"Cascade Head","CASCD","Pacific City","","Unculled","Pacific City South",45.21028,-123.987107,45.212367,-123.984928,2023-07-29,2023,7,29,"1",31.97169811,NA,2,30,60,"STRPUR","Strongylocentrotus purpuratus","Purple urchin","Sea Urchin","Purple urchin",NA,270,4.5
"23",983,"ReefCheck_Transect_Pacific City South_2_2023-07-29","ReefCheck_Transect","Transect","Pacific City","PACS",45.21237,-123.985,"Cascade Head","CASCD","Pacific City","","Unculled","Pacific City South",45.21028,-123.987107,45.212367,-123.984928,2023-07-29,2023,7,29,"2",31.97169811,NA,2,30,60,"ANEMON","Anemone","Anemone","Anemone","Other sessile invertebrate",NA,0,0
"24",984,"ReefCheck_Transect_Pacific City South_2_2023-07-29","ReefCheck_Transect","Transect","Pacific City","PACS",45.21237,-123.985,"Cascade Head","CASCD","Pacific City","","Unculled","Pacific City South",45.21028,-123.987107,45.212367,-123.984928,2023-07-29,2023,7,29,"2",31.97169811,NA,2,30,60,"BIVALV","Bivalve","Bivalve","Bivalve","Other sessile invertebrate",NA,0,0
"25",985,"ReefCheck_Transect_Pacific City South_2_2023-07-29","ReefCheck_Transect","Transect","Pacific City","PACS",45.21237,-123.985,"Cascade Head","CASCD","Pacific City","","Unculled","Pacific City South",45.21028,-123.987107,45.212367,-123.984928,2023-07-29,2023,7,29,"2",31.97169811,NA,2,30,60,"CRYSTE","Cryptochiton stelleri","Gumboot Chiton","Other invertebrate","Other sessile invertebrate",NA,0,0
"26",986,"ReefCheck_Transect_Pacific City South_2_2023-07-29","ReefCheck_Transect","Transect","Pacific City","PACS",45.21237,-123.985,"Cascade Head","CASCD","Pacific City","","Unculled","Pacific City South",45.21028,-123.987107,45.212367,-123.984928,2023-07-29,2023,7,29,"2",31.97169811,NA,2,30,60,"ECHINO","Other echinoderms","Other echinoderms","Other echinoderms","Other sessile invertebrate",NA,7,0.116666667
"27",987,"ReefCheck_Transect_Pacific City South_2_2023-07-29","ReefCheck_Transect","Transect","Pacific City","PACS",45.21237,-123.985,"Cascade Head","CASCD","Pacific City","","Unculled","Pacific City South",45.21028,-123.987107,45.212367,-123.984928,2023-07-29,2023,7,29,"2",31.97169811,NA,2,30,60,"EGRMEN","Egregia menzisii","Feather Boa kelp","Kelp","Subcanopy kelp",NA,0,0
"28",988,"ReefCheck_Transect_Pacific City South_2_2023-07-29","ReefCheck_Transect","Transect","Pacific City","PACS",45.21237,-123.985,"Cascade Head","CASCD","Pacific City","","Unculled","Pacific City South",45.21028,-123.987107,45.212367,-123.984928,2023-07-29,2023,7,29,"2",31.97169811,NA,2,30,60,"HALKAM","Haliotis kamtschatkana","Pinto abalone","Abalone","Abalone",NA,0,0
"29",989,"ReefCheck_Transect_Pacific City South_2_2023-07-29","ReefCheck_Transect","Transect","Pacific City","PACS",45.21237,-123.985,"Cascade Head","CASCD","Pacific City","","Unculled","Pacific City South",45.21028,-123.987107,45.212367,-123.984928,2023-07-29,2023,7,29,"2",31.97169811,NA,2,30,60,"HALRUF","Haliotis rufescens","Red abalone","Abalone","Abalone",NA,0,0
"30",990,"ReefCheck_Transect_Pacific City South_2_2023-07-29","ReefCheck_Transect","Transect","Pacific City","PACS",45.21237,-123.985,"Cascade Head","CASCD","Pacific City","","Unculled","Pacific City South",45.21028,-123.987107,45.212367,-123.984928,2023-07-29,2023,7,29,"2",31.97169811,NA,2,30,60,"HALWAL","Haliotis walallensis","Flat abalone","Abalone","Abalone",NA,0,0
"31",991,"ReefCheck_Transect_Pacific City South_2_2023-07-29","ReefCheck_Transect","Transect","Pacific City","PACS",45.21237,-123.985,"Cascade Head","CASCD","Pacific City","","Unculled","Pacific City South",45.21028,-123.987107,45.212367,-123.984928,2023-07-29,2023,7,29,"2",31.97169811,NA,2,30,60,"LAMSET","Laminaria setchellii","Split kelp, torn kelp, torn blade kelp","Kelp","Subcanopy kelp",NA,0,0
"32",992,"ReefCheck_Transect_Pacific City South_2_2023-07-29","ReefCheck_Transect","Transect","Pacific City","PACS",45.21237,-123.985,"Cascade Head","CASCD","Pacific City","","Unculled","Pacific City South",45.21028,-123.987107,45.212367,-123.984928,2023-07-29,2023,7,29,"2",31.97169811,NA,2,30,60,"MACPYR","Macrocystis pyrifera","Giant kelp","Kelp","Canopy kelp",NA,0,0
"33",993,"ReefCheck_Transect_Pacific City South_2_2023-07-29","ReefCheck_Transect","Transect","Pacific City","PACS",45.21237,-123.985,"Cascade Head","CASCD","Pacific City","","Unculled","Pacific City South",45.21028,-123.987107,45.212367,-123.984928,2023-07-29,2023,7,29,"2",31.97169811,NA,2,30,60,"MESFRA","Mesocentrotus franciscanus","Red urchin","Sea Urchin","Red urchin",NA,71.42857143,1.19047619
"34",994,"ReefCheck_Transect_Pacific City South_2_2023-07-29","ReefCheck_Transect","Transect","Pacific City","PACS",45.21237,-123.985,"Cascade Head","CASCD","Pacific City","","Unculled","Pacific City South",45.21028,-123.987107,45.212367,-123.984928,2023-07-29,2023,7,29,"2",31.97169811,NA,2,30,60,"NERLUE","Nereocystis luetkeana","Bull kelp","Kelp","Canopy kelp",NA,0,0
"35",995,"ReefCheck_Transect_Pacific City South_2_2023-07-29","ReefCheck_Transect","Transect","Pacific City","PACS",45.21237,-123.985,"Cascade Head","CASCD","Pacific City","","Unculled","Pacific City South",45.21028,-123.987107,45.212367,-123.984928,2023-07-29,2023,7,29,"2",31.97169811,NA,2,30,60,"OTHBRN","Other brown algae","Other brown algae","Other Brown Algae","Subcanopy kelp",NA,0,0
"36",996,"ReefCheck_Transect_Pacific City South_2_2023-07-29","ReefCheck_Transect","Transect","Pacific City","PACS",45.21237,-123.985,"Cascade Head","CASCD","Pacific City","","Unculled","Pacific City South",45.21028,-123.987107,45.212367,-123.984928,2023-07-29,2023,7,29,"2",31.97169811,NA,2,30,60,"OTHFSH","Other fish","Other fish","Fish","Predatory fish",NA,0,0
"37",997,"ReefCheck_Transect_Pacific City South_2_2023-07-29","ReefCheck_Transect","Transect","Pacific City","PACS",45.21237,-123.985,"Cascade Head","CASCD","Pacific City","","Unculled","Pacific City South",45.21028,-123.987107,45.212367,-123.984928,2023-07-29,2023,7,29,"2",31.97169811,NA,2,30,60,"OTHINV","Other invertebrate","Other invertebrate","Other invertebrate","Other sessile invertebrate",NA,0,0
"38",998,"ReefCheck_Transect_Pacific City South_2_2023-07-29","ReefCheck_Transect","Transect","Pacific City","PACS",45.21237,-123.985,"Cascade Head","CASCD","Pacific City","","Unculled","Pacific City South",45.21028,-123.987107,45.212367,-123.984928,2023-07-29,2023,7,29,"2",31.97169811,NA,2,30,60,"PISOCH","Pisaster ochraceus","Ochre star","Sea star","Other predatory sea star",NA,11,0.183333333
"39",999,"ReefCheck_Transect_Pacific City South_2_2023-07-29","ReefCheck_Transect","Transect","Pacific City","PACS",45.21237,-123.985,"Cascade Head","CASCD","Pacific City","","Unculled","Pacific City South",45.21028,-123.987107,45.212367,-123.984928,2023-07-29,2023,7,29,"2",31.97169811,NA,2,30,60,"PLEGAR","Pleurophycus gardneri","Ribbed Kelp","Kelp","Subcanopy kelp",NA,0,0
"40",1000,"ReefCheck_Transect_Pacific City South_2_2023-07-29","ReefCheck_Transect","Transect","Pacific City","PACS",45.21237,-123.985,"Cascade Head","CASCD","Pacific City","","Unculled","Pacific City South",45.21028,-123.987107,45.212367,-123.984928,2023-07-29,2023,7,29,"2",31.97169811,NA,2,30,60,"PTECAL","Pterygophora californica","Old growth kelp, winged kelp","Kelp","Subcanopy kelp",NA,0,0
"41",1001,"ReefCheck_Transect_Pacific City South_2_2023-07-29","ReefCheck_Transect","Transect","Pacific City","PACS",45.21237,-123.985,"Cascade Head","CASCD","Pacific City","","Unculled","Pacific City South",45.21028,-123.987107,45.212367,-123.984928,2023-07-29,2023,7,29,"2",31.97169811,NA,2,30,60,"PYCHEL","Pycnopodia helianthoides","Sunflower sea star","Sea star","Sunflower sea star",NA,10,0.166666667
"42",1002,"ReefCheck_Transect_Pacific City South_2_2023-07-29","ReefCheck_Transect","Transect","Pacific City","PACS",45.21237,-123.985,"Cascade Head","CASCD","Pacific City","","Unculled","Pacific City South",45.21028,-123.987107,45.212367,-123.984928,2023-07-29,2023,7,29,"2",31.97169811,NA,2,30,60,"SOLDAW","Solaster dawsoni","Dawson's star","Sea star","Other predatory sea star",NA,0,0
"43",1003,"ReefCheck_Transect_Pacific City South_2_2023-07-29","ReefCheck_Transect","Transect","Pacific City","PACS",45.21237,-123.985,"Cascade Head","CASCD","Pacific City","","Unculled","Pacific City South",45.21028,-123.987107,45.212367,-123.984928,2023-07-29,2023,7,29,"2",31.97169811,NA,2,30,60,"SOLSTI","Solaster stimpsoni","Stimpson's star","Sea star","Other predatory sea star",NA,0,0
"44",1004,"ReefCheck_Transect_Pacific City South_2_2023-07-29","ReefCheck_Transect","Transect","Pacific City","PACS",45.21237,-123.985,"Cascade Head","CASCD","Pacific City","","Unculled","Pacific City South",45.21028,-123.987107,45.212367,-123.984928,2023-07-29,2023,7,29,"2",31.97169811,NA,2,30,60,"STRPUR","Strongylocentrotus purpuratus","Purple urchin","Sea Urchin","Purple urchin",NA,726,12.1
"45",1005,"ReefCheck_Transect_Pacific City South_3_2023-07-29","ReefCheck_Transect","Transect","Pacific City","PACS",45.21237,-123.985,"Cascade Head","CASCD","Pacific City","","Unculled","Pacific City South",45.21028,-123.987107,45.212367,-123.984928,2023-07-29,2023,7,29,"3",31.97169811,NA,2,30,60,"ANEMON","Anemone","Anemone","Anemone","Other sessile invertebrate",NA,0,0
"46",1006,"ReefCheck_Transect_Pacific City South_3_2023-07-29","ReefCheck_Transect","Transect","Pacific City","PACS",45.21237,-123.985,"Cascade Head","CASCD","Pacific City","","Unculled","Pacific City South",45.21028,-123.987107,45.212367,-123.984928,2023-07-29,2023,7,29,"3",31.97169811,NA,2,30,60,"BIVALV","Bivalve","Bivalve","Bivalve","Other sessile invertebrate",NA,0,0
"47",1007,"ReefCheck_Transect_Pacific City South_3_2023-07-29","ReefCheck_Transect","Transect","Pacific City","PACS",45.21237,-123.985,"Cascade Head","CASCD","Pacific City","","Unculled","Pacific City South",45.21028,-123.987107,45.212367,-123.984928,2023-07-29,2023,7,29,"3",31.97169811,NA,2,30,60,"CRYSTE","Cryptochiton stelleri","Gumboot Chiton","Other invertebrate","Other sessile invertebrate",NA,0,0
"48",1008,"ReefCheck_Transect_Pacific City South_3_2023-07-29","ReefCheck_Transect","Transect","Pacific City","PACS",45.21237,-123.985,"Cascade Head","CASCD","Pacific City","","Unculled","Pacific City South",45.21028,-123.987107,45.212367,-123.984928,2023-07-29,2023,7,29,"3",31.97169811,NA,2,30,60,"ECHINO","Other echinoderms","Other echinoderms","Other echinoderms","Other sessile invertebrate",NA,12,0.2
"49",1009,"ReefCheck_Transect_Pacific City South_3_2023-07-29","ReefCheck_Transect","Transect","Pacific City","PACS",45.21237,-123.985,"Cascade Head","CASCD","Pacific City","","Unculled","Pacific City South",45.21028,-123.987107,45.212367,-123.984928,2023-07-29,2023,7,29,"3",31.97169811,NA,2,30,60,"EGRMEN","Egregia menzisii","Feather Boa kelp","Kelp","Subcanopy kelp",NA,0,0
"50",1010,"ReefCheck_Transect_Pacific City South_3_2023-07-29","ReefCheck_Transect","Transect","Pacific City","PACS",45.21237,-123.985,"Cascade Head","CASCD","Pacific City","","Unculled","Pacific City South",45.21028,-123.987107,45.212367,-123.984928,2023-07-29,2023,7,29,"3",31.97169811,NA,2,30,60,"HALKAM","Haliotis kamtschatkana","Pinto abalone","Abalone","Abalone",NA,0,0
"51",1011,"ReefCheck_Transect_Pacific City South_3_2023-07-29","ReefCheck_Transect","Transect","Pacific City","PACS",45.21237,-123.985,"Cascade Head","CASCD","Pacific City","","Unculled","Pacific City South",45.21028,-123.987107,45.212367,-123.984928,2023-07-29,2023,7,29,"3",31.97169811,NA,2,30,60,"HALRUF","Haliotis rufescens","Red abalone","Abalone","Abalone",NA,0,0
"52",1012,"ReefCheck_Transect_Pacific City South_3_2023-07-29","ReefCheck_Transect","Transect","Pacific City","PACS",45.21237,-123.985,"Cascade Head","CASCD","Pacific City","","Unculled","Pacific City South",45.21028,-123.987107,45.212367,-123.984928,2023-07-29,2023,7,29,"3",31.97169811,NA,2,30,60,"HALWAL","Haliotis walallensis","Flat abalone","Abalone","Abalone",NA,0,0
"53",1013,"ReefCheck_Transect_Pacific City South_3_2023-07-29","ReefCheck_Transect","Transect","Pacific City","PACS",45.21237,-123.985,"Cascade Head","CASCD","Pacific City","","Unculled","Pacific City South",45.21028,-123.987107,45.212367,-123.984928,2023-07-29,2023,7,29,"3",31.97169811,NA,2,30,60,"LAMSET","Laminaria setchellii","Split kelp, torn kelp, torn blade kelp","Kelp","Subcanopy kelp",NA,0,0
"54",1014,"ReefCheck_Transect_Pacific City South_3_2023-07-29","ReefCheck_Transect","Transect","Pacific City","PACS",45.21237,-123.985,"Cascade Head","CASCD","Pacific City","","Unculled","Pacific City South",45.21028,-123.987107,45.212367,-123.984928,2023-07-29,2023,7,29,"3",31.97169811,NA,2,30,60,"MACPYR","Macrocystis pyrifera","Giant kelp","Kelp","Canopy kelp",NA,0,0
"55",1015,"ReefCheck_Transect_Pacific City South_3_2023-07-29","ReefCheck_Transect","Transect","Pacific City","PACS",45.21237,-123.985,"Cascade Head","CASCD","Pacific City","","Unculled","Pacific City South",45.21028,-123.987107,45.212367,-123.984928,2023-07-29,2023,7,29,"3",31.97169811,NA,2,30,60,"MESFRA","Mesocentrotus franciscanus","Red urchin","Sea Urchin","Red urchin",NA,76.09756098,1.268292683
"56",1016,"ReefCheck_Transect_Pacific City South_3_2023-07-29","ReefCheck_Transect","Transect","Pacific City","PACS",45.21237,-123.985,"Cascade Head","CASCD","Pacific City","","Unculled","Pacific City South",45.21028,-123.987107,45.212367,-123.984928,2023-07-29,2023,7,29,"3",31.97169811,NA,2,30,60,"NERLUE","Nereocystis luetkeana","Bull kelp","Kelp","Canopy kelp",NA,0,0
"57",1017,"ReefCheck_Transect_Pacific City South_3_2023-07-29","ReefCheck_Transect","Transect","Pacific City","PACS",45.21237,-123.985,"Cascade Head","CASCD","Pacific City","","Unculled","Pacific City South",45.21028,-123.987107,45.212367,-123.984928,2023-07-29,2023,7,29,"3",31.97169811,NA,2,30,60,"OTHBRN","Other brown algae","Other brown algae","Other Brown Algae","Subcanopy kelp",NA,0,0
"58",1018,"ReefCheck_Transect_Pacific City South_3_2023-07-29","ReefCheck_Transect","Transect","Pacific City","PACS",45.21237,-123.985,"Cascade Head","CASCD","Pacific City","","Unculled","Pacific City South",45.21028,-123.987107,45.212367,-123.984928,2023-07-29,2023,7,29,"3",31.97169811,NA,2,30,60,"OTHFSH","Other fish","Other fish","Fish","Predatory fish",NA,0,0
"59",1019,"ReefCheck_Transect_Pacific City South_3_2023-07-29","ReefCheck_Transect","Transect","Pacific City","PACS",45.21237,-123.985,"Cascade Head","CASCD","Pacific City","","Unculled","Pacific City South",45.21028,-123.987107,45.212367,-123.984928,2023-07-29,2023,7,29,"3",31.97169811,NA,2,30,60,"OTHINV","Other invertebrate","Other invertebrate","Other invertebrate","Other sessile invertebrate",NA,0,0
"60",1020,"ReefCheck_Transect_Pacific City South_3_2023-07-29","ReefCheck_Transect","Transect","Pacific City","PACS",45.21237,-123.985,"Cascade Head","CASCD","Pacific City","","Unculled","Pacific City South",45.21028,-123.987107,45.212367,-123.984928,2023-07-29,2023,7,29,"3",31.97169811,NA,2,30,60,"PISOCH","Pisaster ochraceus","Ochre star","Sea star","Other predatory sea star",NA,2,0.033333333
"61",1021,"ReefCheck_Transect_Pacific City South_3_2023-07-29","ReefCheck_Transect","Transect","Pacific City","PACS",45.21237,-123.985,"Cascade Head","CASCD","Pacific City","","Unculled","Pacific City South",45.21028,-123.987107,45.212367,-123.984928,2023-07-29,2023,7,29,"3",31.97169811,NA,2,30,60,"PLEGAR","Pleurophycus gardneri","Ribbed Kelp","Kelp","Subcanopy kelp",NA,0,0
"62",1022,"ReefCheck_Transect_Pacific City South_3_2023-07-29","ReefCheck_Transect","Transect","Pacific City","PACS",45.21237,-123.985,"Cascade Head","CASCD","Pacific City","","Unculled","Pacific City South",45.21028,-123.987107,45.212367,-123.984928,2023-07-29,2023,7,29,"3",31.97169811,NA,2,30,60,"PTECAL","Pterygophora californica","Old growth kelp, winged kelp","Kelp","Subcanopy kelp",NA,0,0
"63",1023,"ReefCheck_Transect_Pacific City South_3_2023-07-29","ReefCheck_Transect","Transect","Pacific City","PACS",45.21237,-123.985,"Cascade Head","CASCD","Pacific City","","Unculled","Pacific City South",45.21028,-123.987107,45.212367,-123.984928,2023-07-29,2023,7,29,"3",31.97169811,NA,2,30,60,"PYCHEL","Pycnopodia helianthoides","Sunflower sea star","Sea star","Sunflower sea star",NA,2,0.033333333
"64",1024,"ReefCheck_Transect_Pacific City South_3_2023-07-29","ReefCheck_Transect","Transect","Pacific City","PACS",45.21237,-123.985,"Cascade Head","CASCD","Pacific City","","Unculled","Pacific City South",45.21028,-123.987107,45.212367,-123.984928,2023-07-29,2023,7,29,"3",31.97169811,NA,2,30,60,"SOLDAW","Solaster dawsoni","Dawson's star","Sea star","Other predatory sea star",NA,0,0
"65",1025,"ReefCheck_Transect_Pacific City South_3_2023-07-29","ReefCheck_Transect","Transect","Pacific City","PACS",45.21237,-123.985,"Cascade Head","CASCD","Pacific City","","Unculled","Pacific City South",45.21028,-123.987107,45.212367,-123.984928,2023-07-29,2023,7,29,"3",31.97169811,NA,2,30,60,"SOLSTI","Solaster stimpsoni","Stimpson's star","Sea star","Other predatory sea star",NA,0,0
"66",1026,"ReefCheck_Transect_Pacific City South_3_2023-07-29","ReefCheck_Transect","Transect","Pacific City","PACS",45.21237,-123.985,"Cascade Head","CASCD","Pacific City","","Unculled","Pacific City South",45.21028,-123.987107,45.212367,-123.984928,2023-07-29,2023,7,29,"3",31.97169811,NA,2,30,60,"STRPUR","Strongylocentrotus purpuratus","Purple urchin","Sea Urchin","Purple urchin",NA,204,3.4
